id,name,region,coat_of_arms,words,founded,died_out
1,House Algood,The Westerlands,"A golden wreath, on a blue field with a gold border(Azure, a garland of laurel within a bordure or)",,,
2,House Allyrion of Godsgrace,Dorne,"Gyronny Gules and Sable, a hand couped Or","No Foe May Pass",,
3,House Amber,The North,,,,
4,House Ambrose,The Reach,"Or, semy of ants gules","Never Resting",,
5,House Appleton of Appleton,The Reach,"Or, an apple tree eradicated proper fructed gules, quartered with argent, a gatehouse cendrée",,,
6,House Arryn of Gulltown,The Vale,,,,
7,House Arryn of the Eyrie,The Vale,"A sky-blue falcon soaring against a white moon, on a sky-blue field(Bleu celeste, upon a plate a falcon volant of the field)","As High as Honor",Coming of the Andals,
8,House Ashford of Ashford,The Reach,"Tenny, a sun in splendour beneath a chevron inverted argent","Our Sun Shines Bright",,
9,House Ashwood,The North,,,,
10,House Baelish of Harrenhal,The Riverlands,"A field of silver mockingbirds, on a green field(Vert, semé of mockingbirds argent)",,299 AC,
11,House Baelish of the Fingers,The Vale,"A grey stone head with fiery eyes, on a light green field(Vert, a stone head cendrée, orbed gules)",,,
12,House Ball,The Reach,"Three white plates upon a chevron red on a white field",,,
13,House Banefort of Banefort,The Westerlands,"A black hooded man, on a grey field, within a fiery tressure(Cendrée, a hooded man sable within a tressure rayonné along the outer edge gules)",,,
14,House Bar Emmon of Sharp Point,The Crownlands,"Fretty argent and white, a swordfish embowed haurient azure",,,
15,House Baratheon of Dragonstone,The Crownlands,"Or, a heart gules enflamed proper charged with a stag's head sable crowned of the field",,284 AC,
16,House Baratheon of King's Landing,The Crownlands,"A black crowned stag and a gold lion, combatant, on a per pale gold and crimson field(Per pale or and gules, a stag, crowned, sable and a lion of the first combatant)",,283 AC,
17,House Baratheon of Storm's End,The Stormlands,"A black crowned stag, on a gold field(Or, a stag salient, crowned, sable)","Ours is the Fury",1 AC,
18,House Beesbury of Honeyholt,The Reach,"Paly or and sable, on a pale of the last three beehives of the first","Beware our Sting",,
19,House Belmore of Strongsong,The Vale,"Six silver bells, 3, 2, 1, on a purple field(Purpure, six bells, 3, 2, 1, argent)",,,
20,House Bettley,The Westerlands,"Three blue beetles, on a gold field(Or, three beetles azure)",,,
21,House Bigglestone,The Riverlands,,,,
22,House Blackbar of Bandallon,The Reach,"Argent, a fess sable",,,
23,House Blackfyre of King's Landing,,"Gules, a three headed dragon breathing flames sable",,184 AC,260 AC
24,House Blackmont of Blackmont,Dorne,"A black vulture with a pink infant in its claws, on yellow",,,
25,House Blackmyre,The Neck,,,,
26,House Blacktyde of Blacktyde,Iron Islands,"Vairy vert and sable",,,
27,House Blackwood of Raventree Hall,The Riverlands,"A flock of ravens surrounding a black shield charged with a dead weirwood, on a scarlet field(Gules, on an escutcheon sable a dead weirwood tree proper, all within an orle of ravens volant sable)",,Age of Heroes,
28,House Blanetree,The Riverlands,"Green and brown maple leaves, strewn across a yellow field(Or, semé of maple leaves vert and tenné)",,,
29,House Blount,The Crownlands,"A red bend sinister between two black porcupines, on a green field(Vert, a bend sinister gules between two porcupines sable)",,,
30,House Boggs,The North,,,,
31,House Boggs of Crackclaw Point,The Crownlands,,,,
32,House Bole,The North,,,,
33,House Bolling,The Stormlands,"Vairy orange and blue, upon a black canton, a golden stag beneath an orange bend sinister(Vairy tenné and azure, on a canton sable a stag or debruised by a bend sinister of the first)",,,
34,House Bolton of the Dreadfort,The North,"A red flayed man on pink de sang","Our Blades are Sharp",Age of Heroes,
35,House Borrell of Sweetsister,The Vale,"A white spider crab, on a grey-green field(Vert-cendrée, a spider crab argent)",,,
36,House Botley of Lordsport,Iron Islands,"Vert, semy of fishes argent",,,
37,House Bracken of Stone Hedge,The Riverlands,"A red stallion upon a gold shield, on a brown field(Tenné, on an escutcheon or a stallion rampant gules)",,Age of Heroes,
38,House Branch,The North,,,,
39,House Branfield,The North,,,,
40,House Brax of Hornvale,The Westerlands,"A purple unicorn, on a silver field(Argent, a unicorn rampant purpure)",,,
41,House Breakstone,The Vale,"A red sledge",,,
42,House Briar,Dorne,,,,
43,House Bridges,The Reach,"A black stone bridge with three arches upon a golden chief above three blue pallets on white",,,
44,House Brightstone,The Vale,,,,Andal invasion
45,House Brook,Dorne,,,,
46,House Broom,The Westerlands,"A silver helm crested with a sprig of broom, on a checkered black and green field(Chequy sable and vert, a helm argent, crested with a sprig of broom proper)",,,
47,House Brownhill,Dorne,,,,
48,House Brune of Brownhollow,The Crownlands,"Argent, a bear's paw erased within a double tressure tenné",,,
49,House Brune of the Dyre Den,The Crownlands,,,,
50,House Buckler of Bronzegate,The Stormlands,"Three brass buckles, on a blue field(Azure, three buckles or)",,,
51,House Buckwell of the Antlers,The Crownlands,"A rack of golden antlers, on a field of vair(Vair, a stag's attire or)","Pride and Purpose",,
52,House Bulwer of Blackcrown,The Reach,"Sanguine, a bull`s skull argent","Death Before Disgrace",,
53,House Burley,The North,"White, upon a pile azure a knife white",,,
54,House Bushy,The Reach,"A green fess embattled on white",,,
55,House Butterwell,The Riverlands,"Barry wavy green, white, and yellow(Barry wavy vert, argent, and or)",,,
56,House Byrch,The Crownlands,"Gryonny white and black quartered with a silver axe on a green field(Quarterly, first and fourth, gyronny argent and sable, second and third, vert, an axe palewise argent)",,,
57,House Bywater,The Crownlands,"Blue frets on a white field, three silver fish on a blue chief(Argent fretty azure, on a chief of the second three fish of the field)",,,
58,House Cafferen of Fawnton,The Stormlands,"Two white fawns counter salient, on a green field(Vert, two fawns counter-salient argent)",,,
59,House Cargyll,The Crownlands,"Bendy sinister sable and gules, a goose Or",,,after 209 AC
60,House Caron of Nightsong,The Stormlands,"A field of black nightingales on yellow(Or, semé of nightingales sable)","No Song so Sweet",,
61,House Cassel,The North,"Ten white wolf heads, 4-3-2-1, on grey with a black border",,,
62,House Casterly of Casterly Rock,The Westerlands,,,Age of Heroes,
63,House Caswell of Bitterbridge,The Reach,"Argent, a centaur with bow or",,,
64,House Cave,The Crownlands,,,,
